Timestamp,What week are you reporting for?,Winning Team,Winning player,Winning Player's 6 Pokemon,Losing Team,Losing player,Losing Player's 6 Pokemon,Score,Game 1 Replay (or Youtube link),Game 2 Replay (or N/A if Youtube),Game 3 Replay (or N/A if no third game or Youtube)
9/30/2022 16:27:27,Week 2,Fire - Midwest,Chefsimi - Midwest,Rillaboom / Dragapult / Volcarona / Urshifu-Single-Strike / Clefairy / Celesteela,Fire - Ohio State,Ryanhardt - Ohio State,Regieleki / Rillaboom / Incineroar / Walrein / Amoonguss / Landorus,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674469950,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674473586,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674477968
9/30/2022 17:13:39,Week 2,Fire - Midwest,Rinkai - Midwest,Landorus-Therian / Regieleki / Rillaboom / Turtonator / Tapu Fini / Celesteela,Fire - Ohio State,bdefili13 - Ohio State,Landorus-Therian / Tapu Fini / Rillaboom / Whimsicott / Incineroar / Magnezone,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674510809,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674511745,N/A
10/2/2022 13:22:55,Week 2,Fire - Ohio State,Wolfcien - Ohio State,Rillaboom / Incineroar / Nihilego / Urshifu-Rapid-Strike / Whimsicott / Dragapult,Fire - Midwest,Whatshamidt - Midwest,Hatterene / Indeedee-F / Urshifu-Single-Strike / Heatran / Tapu Fini / Incineroar,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675853953-fm1hlv6zth6pg9ugwk2c3t1hpq6qgaapw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675855867-cd30c07awhojph7gib8m9au21zfon68pw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675860558-l5phdvm713heiqbd1c9f4r6vpoc0or0pw
10/2/2022 18:03:31,Week 2,Fire - Penn State,CatacIyzmic - Penn State,Spectrier / Regidrago / Incineroar / Whimsicott / Urshifu-Rapid-strike / Excadrill,Fire - Illinois,4DozenEgGs - Illinois,Sirfetchd / Zapdos-Galar / Articuno-Galar / Porygon2 / Golduck / Moltres-Galar,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676051176,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676053265,N/A
10/2/2022 18:37:19,Week 2,Fire - Illinois,Gwen - Illinois,Indeedee-F / Hatterene / Stakataka / Torkoal / Lilligant / Landorus-Therian,Fire - Penn State,eltlxee - Penn State,Spectrier / Regidrago / Whimsicott / Gothitelle / Urshifu-Rapid-Strike / Incineroar,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676070618,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676070770,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676070906
9/30/2022 23:10:50,Week 2,Fire - Penn State,EclipseOwl - Penn State,Incineroar / Cofagrigus / Shuckle / Chansey / Indeedee-F / Reuniclus,Fire - Illinois,Maleris - Illinois,Stakataka / Regieleki / Urshifu-Single-Strike / Tsareena / Hatterene / Indeedee,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674707247-f9vexc4mnzr6natthz7tfxk9sw8vjr0pw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674708281-lmuerp13pq0y5cuvdsxrdpjc95uowx0pw,n/a
10/1/2022 22:09:22,Week 2,Fire - Penn State,Turtle - Penn State,Urshifu-Rapid-Strike / Tapu Lele / Whimsicott / Heatran / Gengar / Rillaboom,Fire - Illinois,Bryce Shade - Illinois,Incineroar / Porygon2 / Torkoal / Urshifu-Rapid-Strike / Thundurus / Comfey,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675427398-hebv9ses2o1wb8xrhqexxfhdddmb7bxpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675427555-yd73b8t86jbb9vd5rqogfsyppo8oefhpw,N/A
9/29/2022 16:54:27,Week 2,Grass - Texas Long,Gallon - Texas Long,Incineroar / Rillaboom / Regieleki / Tornadus / Amoonguss / Urshifu-single-strike,Grass - Akron Gold,GrumpyW01f - Akron Gold,Politoed / Urshifu-rapid-strike / Tsareena / Tornadus / Regieleki / Shedinja,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673641337,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673647266,Na
9/29/2022 18:52:35,Week 2,Grass - Texas Long,latias - Texas Long,Glastrier / Hatterene / Stakataka / Rillaboom / Tapu Fini / Indeedee-F,Grass - Akron Gold,ThatChadBrad - Akron Gold,Incineroar / Glastrier / Dusclops / Metagross / Tapu Fini / Zapdos,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673721103,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673725053,NA
9/30/2022 20:05:05,Week 2,Grass - MTU,Kit - MTU,Glastrier / Mimikyu / Marowak-Alola / Amoonguss / Zapdos / Reuniclus,Grass - RIT Incins,SceptileScythe - RIT Incins,Zapdos-Galar / Tapu Lele / Rillaboom / Incineroar / Alakazam / Togekiss,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674611163-bm7y8q6aho455ij79f4o7qtgq4qvh1opw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674613329-w12qsmeje50ut4ob8f05a8pfpmg9rzfpw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674616729-nxxf2kajuam41wavx6nw1srh34jta26pw
10/1/2022 16:46:22,Week 2,Grass - Akron Gold,TheRadicalChef - Akron Gold,Dracovish / Tyranitar / Amoonguss / Incineroar / Landorus / Whimsicott,Grass - Texas Long,Abhinav - Texas Long,Metagross / Regieleki / Landorus-Therian / Clefairy / Urshifu-Rapid-Strike / Dragapult,2-1,https://youtu.be/sqPl5h-kovE,https://youtu.be/3OSqcM4WF48,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675212527
10/1/2022 21:55:08,Week 2,Grass - RIT Incins,hipicrit - RIT Incins,Whimsicott / Urshifu-Rapid-Strike / Togekiss / Rillaboom / Incineroar / Nihilego,Grass - MTU,Tyraen - MTU,Tornadus / Bronzong / Urshifu-Single-Strike / Incineroar / Regieleki / Naganadel,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675417906,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675420819,N/A
10/2/2022 13:10:28,Week 2,Grass - Akron Gold,Caulk - Akron Gold,Hatterene / Rillaboom / Landorus / Indeedee-F / Torkoal / Stakataka,Grass - Texas Long,Sain - Texas Long,Politoed / Urshifu-Rapid-Strike / Tsareena / Regieleki / Tornadus / Shedinja,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675848232,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675852473,N/A
10/2/2022 19:12:18,Week 2,Grass - RIT Incins,Watamawigi - RIT Incins,Goodra / Kartana / Heatran / Urshifu-Rapid-Strike / Tapu Lele / Amoonguss,Grass - MTU,Scorekeepr - MTU,Porygon2 / Incineroar / Amoonguss / Hatterene / Stakataka / Indeedee-F,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676094702,https://replay.pokemonshowdown.com/gen8spikemuthcup-1676097316,N/A
10/2/2022 20:05:27,Week 2,Grass - MTU,AxleTc - MTU,Incineroar / Tapu Lele / Rillaboom / Regieleki / Regidrago / Thundurus,Grass - RIT Incins,Ranger - RIT Incins,Incineroar / Rillaboom / Urshifu-Single-Strike / Regieleki / Rotom-Wash / Amoonguss,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675363132,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675365609,https://replay.pokemonshowdown.com/gen8spikemuthcup-1675368175
9/29/2022 17:03:50,Week 2,Electric - West Sea,Aaron - West Sea,Naganadel / Urshifu-Rapid-Strike / Heatran / Grimmsnarl / Rillaboom / Articuno-Galar,Electric - Glenville,Leon - Glenville,Politoed / Kingdra / Incineroar / Rillaboom / Landorus / Celesteela,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673644807-3zpmghi0f3ivz7s55si8dg4dh0sbfespw,https://replay.pokemonshowdown.com/gen8spikemuthcup-1673645297-3g3zcqsbl5xwlsyy4aokhktabkz0g2dpw,n/a
9/30/2022 16:04:16,Week 2,Electric - Glenville,Time Wizard - Glenville,Zapdos-Galar / Landorus / Rillaboom / Celesteela / Tapu Fini / Incineroar,Electric - West Sea,Miggle.EXE - West Sea,Porygon2 / Indeedee-F / Torkoal / Venusaur / Stakataka / Zapdos-Galar,2-1,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674447642,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674455976,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674463945
9/30/2022 18:29:33,Week 2,Electric - West Sea,Anders Nordstrom - West Sea,Dragonite / Incineroar / Amoonguss / Porygon2 / Rillaboom / Stakataka,Electric - Glenville,Lugalaodh - Glenville,Rillaboom / Tapu Lele / Incineroar / Mamoswine / Salamence / Whimsicott,2-0,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674551275,https://replay.pokemonshowdown.com/gen8spikemuthcup-1674551574,N/A
